"BusinessEntityID","DepartmentID","ShiftID"
1,16,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,6,1
8,6,1
9,6,1
12,2,1
16,5,1
17,4,1
21,4,1
22,4,1
23,4,1
24,4,1
25,7,1
26,8,1
27,7,1
28,7,1
29,7,1
30,7,1
31,7,1
32,7,1
33,7,1
34,7,1
35,7,1
36,7,1
40,7,3
41,7,3
42,7,3
43,7,3
44,7,3
45,7,3
46,7,3
47,7,1
48,7,1
49,7,1
50,7,1
51,7,1
52,7,1
53,7,1
55,7,3
56,7,3
57,7,3
58,7,3
59,7,3
60,7,3
61,7,3
62,7,2
69,7,2
70,7,2
71,7,3
72,7,3
73,7,3
74,7,3
75,7,3
76,7,3
77,7,3
78,7,2
86,7,2
87,7,3
93,7,2
94,7,2
95,7,2
96,7,2
97,7,2
98,7,2
99,7,2
100,7,2
101,7,2
102,7,2
108,7,1
109,7,1
110,7,1
111,7,1
112,7,1
113,7,1
114,7,1
115,7,1
116,7,1
117,7,1
118,7,1
119,7,1
121,15,1
122,15,2
123,15,2
124,15,3
125,15,1
126,15,1
127,7,3
128,7,3
129,7,3
130,7,3
131,7,3
132,7,3
133,7,3
134,7,1
135,7,1
137,7,1
138,7,1
144,7,1
145,7,2
146,7,2
147,7,2
148,7,2
149,7,2
150,7,2
151,7,2
152,7,2
153,7,2
154,7,2
155,7,2
156,7,2
157,7,2
159,7,2
160,7,1
161,7,1
162,7,1
163,7,1
165,7,1
166,7,1
167,7,1
168,7,1
169,7,1
170,7,1
171,7,1
172,7,1
173,7,1
174,7,1
175,7,1
176,7,1
177,7,1
178,7,1
180,7,3
181,7,3
182,7,3
183,7,3
184,7,3
185,7,3
186,7,2
187,7,2
188,7,2
189,7,2
190,7,2
191,7,2
193,7,1
194,7,1
195,7,1
196,7,1
197,7,1
198,7,1
199,7,1
200,7,1
201,7,1
202,7,1
203,7,1
205,7,3
206,7,3
207,7,3
208,7,3
209,7,3
210,7,3
211,13,1
212,13,1
214,13,2
215,13,1
216,13,1
217,12,1
218,12,3
219,12,1
220,12,1
222,8,1
223,8,1
224,7,1
225,8,2
226,8,3
228,14,1
234,10,1
235,9,1
236,9,1
237,9,1
238,9,1
239,9,1
240,9,1
241,10,1
242,10,1
243,10,1
244,10,1
245,10,1
246,10,1
247,10,1
249,10,1
251,5,1
252,5,1
262,10,1
263,11,1
264,11,1
265,11,2
266,11,1
267,11,1
268,11,1
269,11,1
270,11,1
271,11,1
272,11,1
